2503213	9650	21
2503702	9650	21
2503706	9650	21
2503707	9650	21
2503708	9650	21
2503709	9650	21
2503711	9650	21
2503712	9650	21
2503713	9650	21
2503714	9650	21
2503715	9650	21
2503716	9650	21
2503717	9650	21
2503718	9650	21
2503719	9650	21
2503721	9650	21
2503723	9650	21
2503724	9650	21
2503725	9650	21
2503727	9650	21
2503728	9650	21
2503729	9650	21
2503733	9650	21
2503737	9650	21
2503740	9650	21
2503741	9650	21
2503743	9650	21
2503744	9650	21
2503748	9650	21
2503749	9650	21
2503750	9650	21
2503751	9650	21
2503753	9650	21
2503755	9650	21
2503757	9650	21
2503759	9650	21
2503761	9650	21
2503762	9650	21
2503766	9650	21
2503767	9650	21
2504004	9630	230
2504006	6408D+	230
2504149	9630	230
2504152	9650	230
2504160	9650	230
2504200	9650	230
2504202	9608	230
2504207	9650	230
2504208	9650	230
2504215	9650	21
2504216	9650	230
2504220	9650	230
2504267	9650	230
2504269	9650	230
2504311	9650	230
2504319	9650	230
2504326	9650	230
2504328	9650	230
2504336	9650	230
2504343	9650	230
2504418	9650	230
2504745	9650	230
2504814	9650	230
2504912	9650	230
2504957	6408D+	230
2504962	9650	21
2504963	9650	230
2504973	9650	230
2505805	9608	230
2507212	9650	21
2507226	9650	21
2507577	9650	21
2507614	9650	21
2507731	9650	21
2507905	9650	21
2507913	9650	21
2507920	9650	21
2507927	9650	21
2507929	9650	21
2600028	9650	21
3302132	9650	95
6301012	9608	180
6301016	9630	181
6301033	9630	180
6301055	9608	180
6301064	9608	180
6301070	9608	180
6301072	9608	180
6301075	9608	180
6301077	9630	180
6301101	9608	181
6301170	9608	180
6301172	9608	180
6301173	9608	180
6301205	9608	180
6301210	9608	180
6301259	9650	180
6301309	9650	181
6301354	9611	180
6301362	B189	180
6301370	9608	180
6301371	9608	180
6301375	B189	180
6301387	B189	180
6301391	B189	180
6301409	9608	180
6301425	9608	180
6301426	9608	180
6301439	9608	180
6301440	9608	180
6301441	9608	180
6301442	9608	180
6301443	9608	180
6301444	9608	180
6301445	9608	180
6301446	9608	180
6301447	9608	180
6301448	9608	180
6301449	9608	180
6301450	9608	180
6301451	9608	180
6301452	9608	180
6301453	9608	180
6301454	9608	180
6301455	9608	180
6301456	9608	180
6301457	9608	180
6301458	9608	180
6301459	9608	180
6301460	9608	180
6301461	9608	180
6301462	9608	180
6301481	9608	180
6301482	9608	180
6301483	9608	180
6301484	9608	180
6301485	9608	180
6301486	9608	180
6301487	9608	180
6301489	9608	180
6301490	9608	180
6301491	9608	180
6301492	9608	180
6301493	9608	180
6301494	9608	180
6301495	9608	180
6301496	9608	180
6301497	9608	180
6301498	9608	180
6301499	9608	180
6301600	9608	180
6301604	9608	180
6301605	9608	180
6301607	9608	180
6301609	9608	180
6301610	9630	180
6301656	9608	181
6301667	9630	181
6301668	9608	181
6301669	9630	230
6301725	9630	181
6301728	9608	181
6301729	9630	181
6301731	9608	181
6301733	9608	181
6301736	9630	181
6301741	9608	180
6301742	9630	181
6301743	9608	181
6301746	9608	180
6301747	9608	230
6301748	9608	230
6301749	9608	230
6301754	9608	180
6301755	9608	181
6301756	9608	230
6301757	9608	230
6301759	9608	230
6301761	9608	181
6301763	9608	181
6301764	9608	181
6301765	9608	180
6301767	9608	181
6301769	9608	180
6301770	9608	230
6301774	9608	181
6301775	9608	181
6301776	9608	181
6301778	9608	181
6301779	9608	181
6301780	9608	181
6301781	9608	181
6301783	9608	181
6301784	9630	181
6301787	9608	181
6301789	9608	181
6301791	9608	181
6301795	9608	180
6301796	9608	181
6301797	9608	181
6301801	9608	181
6301802	9611	230
6301803	9630	180
6301804	9608	180
6301805	9608	181
6301806	9611	230
6301807	9608	181
6301809	9608	181
6301811	9608	181
6301812	9608	180
6301813	9608	180
6301814	9611	230
6301816	9630	181
6301817	9611	230
6301825	9608	180
6301844	9608	180
6301845	9608	180
6301893	9608	181
6301894	9630	230
6301898	9608	181
6301928	9608	230
6301962	9630	230
6301977	9611	180
6301980	9630	181
6301983	9608	181
6301988	9630	181
6302070	9630	181
6302094	9608	181
6302113	9611	180
6302133	9608	181
6302140	9608	180
6302258	9650	181
6302272	9608	180
6302322	9608	181
6302330	9608	181
6302335	9608	181
6302422	9630	230
6302483	9608	181
6302484	9608	181
6302485	9608	181
6302486	9608	181
6302487	9608	181
6302489	9611	181
6302491	9608	181
6302492	9611	181
6302493	9611	180
6302497	9611	181
6302498	9608	181
6302518	9611	181
6302519	9650	181
6302549	9608	181
6302599	9608	181
6302631	9650	181
6302673	9608	181
6302676	9608	181
6302677	B189	181
6302696	9608	181
6302697	9608	181
6302705	9608	181
6302706	9608	181
6303031	9650	1
6303570	9611	181
6303624	9611	181
6303702	9611	181
6303705	9611	181
6303708	9611	181
6303721	9611	181
6303727	9611	181
6304134	9620	181
6304374	9620	181
6304816	9611	230
6304850	9630	180
6305018	9608	181
6305019	9608	181
6305020	9608	181
6305021	9608	181
6305022	9608	181
6305023	9608	181
6305024	9608	181
6305025	9608	181
6305026	9608	181
6305027	9608	181
6305028	9608	181
6305029	9608	181
6305030	9608	181
6305031	9608	181
6305039	9608	181
6305040	9608	181
6305056	9608	181
6305076	9608	181
6305078	9608	181
6305085	9608	181
6305110	9608	181
6305115	9608	181
6305116	9608	181
6305124	B189	181
6305130	9608	181
6305134	9608	181
6305139	9608	181
6305140	9608	181
6305141	9608	181
6305142	9608	181
